"FieldName","Description"
"isConsent","Indicates if it's a consent record."
"addedby","name of the user who added the record."
"deletedby","name of the user who deleted the record."
"AddedDate","Date when the record was added."
"PatientKey","identifier for the patient."
"SmsNaviMessagesKey","Key linking to SMS Navi messages data."
"SmsnaviConsentKey","Unique Key to SMS Navi consent data."
"ServiceNumber","Service number associated with the record."
"DeletedDate","Date when the record was deleted."
