"FieldName","Description"
"StartDate","Date when the immunization schedule starts."
"ImmunizationScheduleKey","Unique key for the immunization schedule."
"ScheduleBy","Person responsible for scheduling the immunization."
"disease","Disease targeted by the immunization."
"dose","Amount of dose to be administered."
"ImmunizationRecordKey","identifier for the immunization record."
"EndDate","Date when the immunization schedule ends."
"patientKey","identifier for the patient."
"RefusedVaccinationDate","Date when vaccination was refused by the patient."
