"FieldName","Description"
"addedDate","Date when the record was added."
"reason","Reason for the decision."
"doneDate","Date when the action was completed or done."
"doneby","name of the person who completed the action."
"donereason","Reason for the decision."
"EmrRestrictRecordAllowKey","Unique Key to patient's restricted record allowance data."
"addedby","Name of the user who added the record."
"AllowedPerson","Person who is allowed for specific access or action."
"patientKey","identifier for the patient."
