"FieldName","Description"
"PatientKey","identifier for the patient associated with the appointment waitlist."
"ResourceName","Name of the resource (e.g., doctor, ) associated with the appointment waitlist."
"addedby","Name of the person who added the patient to the appointment waitlist."
"addedon","Date when the patient was added to the appointment waitlist."
"AppointmentWaitlistKey","Unique key for the appointment waitlist entry."
"note","additional information related to the appointment waitlist."
"facility","Name of the facility or location associated with the appointment waitlist."
"DoctorName","Name of the doctor associated with the appointment waitlist."
