TABLE_NAME     COLUMN_NAME            DATA_TYPE
mPatientApptTypeFee   UserUpdated                         varchar
mPatientApptTypeFee   DateUpdated                         datetime
mPatientCDP           PatientCDPID                        int
mPatientCDP           PatientID                           int
mPatientCDP           RecipientNumber                     varchar
mPatientCDP           RecipientCertificationDate          datetime
mPatientCDP           HasMetAge                           bit
mPatientCDP           HasMetIncome                        bit
mPatientCDP           HasSignedConsent                    bit
mPatientCDP           WasReferredCancerTreatmentProgram   bit
mPatientCDP           CDPVersionLevel                     varchar
mPatientCDP           UseTobaccoNow                       bit
mPatientCDP           UseOtherTobaccoNow                  bit
mPatientCDP           BCCTPEnrollmentDate                 datetime
mPatientCDP           BCCTPBreastFinalDiagnosisDate       datetime
mPatientCDP           BCCTPBreastFinalDiagnosis           int
mPatientCDP           BCCTPCervicalFinalDiagnosisDate     datetime
mPatientCDP           BCCTPCervicalFinalDiagnosis         int
mPatientCDP           HasMetAgeIncomeBCCTP                bit
mPatientCDP           HasSignedConsentBCCTP               bit
mPatientCDP           IsNonCDP                            bit
mPatientCDP           IsActive                            bit
mPatientCDP           IsDeleted                           bit
mPatientCDP           UserCreated                         varchar
mPatientCDP           DateCreated                         datetime
mPatientCDP           UserUpdated                         varchar
mPatientCDP           DateUpdated                         datetime
mPatientChartInformation   PatientChartInformationID   int
mPatientChartInformation   PatientID                   int
mPatientChartInformation   MedicalRecordNumber         varchar
mPatientChartInformation   MedicalClinicID             int
mPatientChartInformation   IsHomeClinic                bit
mPatientChartInformation   Comments                    varchar
mPatientChartInformation   IsActive                    bit
mPatientChartInformation   IsDeleted                   bit
mPatientChartInformation   UserCreated                 varchar
mPatientChartInformation   DateCreated                 datetime
mPatientChartInformation   UserUpdated                 varchar
mPatientChartInformation   DateUpdated                 datetime
mPatientDescriptor         PatientDescriptorID         int
mPatientDescriptor         PatientID                   int
mPatientDescriptor         DescriptorID                int
mPatientDescriptor         ScreenValue                 varchar
mPatientDescriptor         IsActive                    bit
mPatientDescriptor         IsDeleted                   bit
mPatientDescriptor         UserCreated                 varchar
mPatientDescriptor         DateCreated                 datetime
mPatientDescriptor         UserUpdated                 varchar
mPatientDescriptor         DateUpdated                 datetime
mPatientEmployment         PatientEmploymentID         int
mPatientEmployment         PatientID                   int
mPatientEmployment         EmployerName                varchar
mPatientEmployment         EmployerCity                varchar
mPatientEmployment         EmployerTelephone           varchar
mPatientEmployment         EmploymentPosition          varchar
mPatientEmployment         EmploymentMonthlySalary     money
mPatientEmployment         EmploymentStartDate         datetime
mPatientEmployment         EmploymentEndDate           datetime
mPatientEmployment         EmploymentStatus            bit
mPatientEmployment         IsActive                    bit
mPatientEmployment         IsDeleted                   bit
mPatientEmployment         UserCreated                 varchar
mPatientEmployment         DateCreated                 datetime
mPatientEmployment         UserUpdated                 varchar
mPatientEmployment         DateUpdated                 datetime
mPatientEthnic             PatientEthnicID             int
mPatientEthnic             PatientID                   int
mPatientEthnic             EthnicID                    int
mPatientEthnic             IsPrimary                   bit
mPatientEthnic             IsActive                    bit
mPatientEthnic             IsDeleted                   bit
mPatientEthnic             UserCreated                 varchar
mPatientEthnic             DateCreated                 datetime
mPatientEthnic             UserUpdated                 varchar
mPatientEthnic          DateUpdated              datetime
mPatientFamilyMember    PatientFamilyMemberID    int
mPatientFamilyMember    PatientID                int
mPatientFamilyMember    ContactID                int
mPatientFamilyMember    FullName                 varchar
mPatientFamilyMember    DateOfBirth              datetime
mPatientFamilyMember    Comment                  varchar
mPatientFamilyMember    RelationshipID           int
mPatientFamilyMember    IsActive                 bit
mPatientFamilyMember    IsDeleted                bit
mPatientFamilyMember    UserCreated              varchar
mPatientFamilyMember    DateCreated              datetime
mPatientFamilyMember    UserUpdated              varchar
mPatientFamilyMember    DateUpdated              datetime
mPatientHealthMeasure   PatientHealthMeasureID   int
mPatientHealthMeasure   PatientID                int
mPatientHealthMeasure   HealthMeasureID          int
mPatientHealthMeasure   IsActive                 bit
mPatientHealthMeasure   IsDeleted                bit
mPatientHealthMeasure   ArchiveDate              datetime
mPatientHealthMeasure   ArchiveDocument          varchar
mPatientHealthMeasure   UserCreated              varchar
mPatientHealthMeasure   DateCreated              datetime
mPatientHealthMeasure   UserUpdated              varchar
mPatientHealthMeasure   DateUpdated              datetime
mPatientHealthMeasure   Comment                  varchar
mPatientHealthMeasure   Interval                 int
mPatientHealthMeasure   IntervalPeriod           varchar
mPatientHealthMeasure   ReminderSentDate         datetime
mPatientHealthMeasure   DoesNotApply             bit
mPatientInsurance       PatientInsuranceID       int
mPatientInsurance       PatientID                int
mPatientInsurance       PrimaryIns               bit
mPatientInsurance       CoPay                    varchar
mPatientInsurance       GuarantorLastName        varchar
mPatientInsurance       GuarantorFirstName       varchar
mPatientInsurance       GuarantorMiddleName      varchar
mPatientInsurance       PolicyNumber             varchar
mPatientInsurance       GroupNumber              varchar
mPatientInsurance       BICIssueDate             datetime
mPatientInsurance       ExpirationDate           datetime
mPatientInsurance       CommenceDate             datetime
mPatientInsurance       AidNumber                varchar
mPatientInsurance       HapNumber                varchar
mPatientInsurance       PENumber                 varchar
mPatientInsurance       DayPhone                 varchar
mPatientInsurance       Extension                varchar
mPatientInsurance          ScreenText                  varchar
mPatientInsurance          ScreenValue                 varchar
mPatientInsurance          PayerDescriptorID           int
mPatientInsurance          PayerID                     int
mPatientInsurance          RelationshipID              int
mPatientInsurance          IsActive                    bit
mPatientInsurance          IsDeleted                   bit
mPatientInsurance          UserCreated                 varchar
mPatientInsurance          DateCreated                 datetime
mPatientInsurance          UserUpdated                 varchar
mPatientInsurance          DateUpdated                 datetime
mPatientNeedyMed           PatientNeedyMedID           int
mPatientNeedyMed           PatientID                   int
mPatientNeedyMed           BeginDate                   datetime
mPatientNeedyMed           DrugCompanyID               int
